DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,VCURrot_11m,UCURrot_11m,VCURrot_95m,UCURrot_95m,VCUR_int,UCUR_int,VCUR_11m,UCUR_11m,VCUR_95m,UCUR_95m
2018-06-06-06,  737217.25,-0.101,-0.013,-0.018,-0.136,-0.031, 0.033,-0.091,-0.045, 0.027,-0.134,-0.040, 0.021
2018-06-06-07,737217.2917,-0.114,-0.017,-0.062,-0.062,-0.017, 0.032,-0.103,-0.053,-0.039,-0.079,-0.026, 0.025
2018-06-06-08,737217.3333,-0.144,-0.021,-0.166,-0.052,-0.048, 0.034,-0.129,-0.067,-0.140,-0.104,-0.056, 0.016
2018-06-06-09, 737217.375,-0.166,-0.037,-0.192,-0.096,-0.059, 0.024,-0.144,-0.089,-0.151,-0.153,-0.064, 0.003
2018-06-06-10,737217.4167,-0.138,-0.062,-0.195,-0.087,-0.051,-0.010,-0.111,-0.104,-0.156,-0.146,-0.045,-0.026
2018-06-06-11,737217.4583,-0.160,-0.045,-0.160,-0.010,-0.076,-0.013,-0.136,-0.094,-0.148,-0.061,-0.068,-0.037
2018-06-06-12,   737217.5,-0.196,-0.032,-0.237,-0.014,-0.077, 0.004,-0.175,-0.094,-0.220,-0.091,-0.074,-0.021
2018-06-06-13,737217.5417,-0.219,-0.033,-0.273,-0.019,-0.076,-0.001,-0.196,-0.102,-0.252,-0.107,-0.072,-0.026
2018-06-06-14,737217.5833,-0.245,-0.029,-0.321,-0.000,-0.089,-0.010,-0.222,-0.108,-0.304,-0.105,-0.081,-0.038
2018-06-06-15, 737217.625,-0.253,-0.021,-0.316, 0.011,-0.103,-0.021,-0.232,-0.102,-0.302,-0.092,-0.090,-0.053
2018-06-06-16,737217.6667,-0.256,-0.018,-0.338,-0.015,-0.089,-0.010,-0.237,-0.100,-0.314,-0.124,-0.081,-0.038
2018-06-06-17,737217.7083,-0.241,-0.024,-0.353,-0.036,-0.074, 0.011,-0.220,-0.101,-0.322,-0.149,-0.074,-0.013
2018-06-06-18,  737217.75,-0.248,-0.016,-0.321,-0.026,-0.070,-0.019,-0.229,-0.096,-0.295,-0.129,-0.060,-0.041
2018-06-06-19,737217.7917,-0.252,-0.018,-0.298,-0.054,-0.077, 0.014,-0.232,-0.099,-0.264,-0.148,-0.077,-0.012
2018-06-06-20,737217.8333,-0.236,-0.001,-0.311, 0.005,-0.063,-0.052,-0.223,-0.078,-0.296,-0.097,-0.042,-0.069
2018-06-06-21, 737217.875,-0.223, 0.018,-0.374, 0.043,-0.060,-0.071,-0.216,-0.055,-0.368,-0.082,-0.033,-0.087
2018-06-06-22,737217.9167,-0.198, 0.025,-0.291, 0.066,-0.067,-0.060,-0.195,-0.041,-0.297,-0.032,-0.044,-0.079
2018-06-06-23,737217.9583,-0.194, 0.027,-0.322, 0.061,-0.066,-0.011,-0.192,-0.038,-0.324,-0.047,-0.059,-0.032
2018-06-07-00,     737218,-0.196, 0.024,-0.304, 0.052,-0.085, 0.026,-0.194,-0.041,-0.305,-0.050,-0.089,-0.003
2018-06-07-01,737218.0417,-0.183, 0.028,-0.268, 0.051,-0.062, 0.004,-0.182,-0.033,-0.270,-0.039,-0.060,-0.017
2018-06-07-02,737218.0833,-0.185, 0.032,-0.304, 0.107,-0.047,-0.013,-0.185,-0.030,-0.322, 0.002,-0.040,-0.028
2018-06-07-03, 737218.125,-0.183, 0.032,-0.260, 0.093,-0.069, 0.009,-0.183,-0.030,-0.276, 0.004,-0.068,-0.014
2018-06-07-04,737218.1667,-0.190, 0.027,-0.241, 0.080,-0.075,-0.000,-0.188,-0.037,-0.254,-0.003,-0.071,-0.025
2018-06-07-05,737218.2083,-0.207, 0.018,-0.252, 0.079,-0.084, 0.029,-0.202,-0.050,-0.264,-0.008,-0.088, 0.000
2018-06-07-06,  737218.25,-0.234, 0.008,-0.254, 0.074,-0.104, 0.040,-0.224,-0.068,-0.264,-0.013,-0.111, 0.004
2018-06-07-07,737218.2917,-0.243,-0.001,-0.256, 0.072,-0.083, 0.021,-0.229,-0.080,-0.265,-0.015,-0.085,-0.007
2018-06-07-08,737218.3333,-0.257,-0.009,-0.267, 0.049,-0.073, 0.009,-0.241,-0.092,-0.269,-0.041,-0.072,-0.015
2018-06-07-09, 737218.375,-0.233,-0.008,-0.228, 0.037,-0.089, 0.019,-0.218,-0.084,-0.228,-0.039,-0.090,-0.011
2018-06-07-10,737218.4167,-0.277,-0.022,-0.264,-0.002,-0.114, 0.025,-0.254,-0.111,-0.249,-0.088,-0.116,-0.014
2018-06-07-11,737218.4583,-0.304,-0.023,-0.300,-0.020,-0.111, 0.012,-0.280,-0.121,-0.277,-0.117,-0.109,-0.024
2018-06-07-12,   737218.5,-0.319,-0.032,-0.324,-0.040,-0.117, 0.002,-0.291,-0.135,-0.293,-0.144,-0.111,-0.036
2018-06-07-13,737218.5417,-0.348,-0.025,-0.378,-0.035,-0.132,-0.003,-0.321,-0.137,-0.346,-0.156,-0.124,-0.045
2018-06-07-14,737218.5833,-0.347,-0.024,-0.402,-0.020,-0.119,-0.045,-0.321,-0.136,-0.374,-0.150,-0.098,-0.081
2018-06-07-15, 737218.625,-0.374,-0.020,-0.446,-0.025,-0.131,-0.036,-0.348,-0.140,-0.413,-0.169,-0.112,-0.077
2018-06-07-16,737218.6667,-0.409,-0.018,-0.434,-0.028,-0.165,-0.007,-0.380,-0.150,-0.401,-0.168,-0.154,-0.060
2018-06-07-17,737218.7083,-0.419,-0.034,-0.461,-0.046,-0.157,-0.013,-0.385,-0.169,-0.421,-0.194,-0.145,-0.064
2018-06-07-18,  737218.75,-0.407,-0.036,-0.416,-0.008,-0.168,-0.021,-0.373,-0.167,-0.391,-0.143,-0.152,-0.075
2018-06-07-19,737218.7917,-0.397,-0.039,-0.446, 0.005,-0.164,-0.036,-0.362,-0.166,-0.423,-0.141,-0.144,-0.087
2018-06-07-20,737218.8333,-0.381,-0.037,-0.371,-0.011,-0.179,-0.017,-0.349,-0.159,-0.348,-0.131,-0.163,-0.074
2018-06-07-21, 737218.875,-0.348,-0.037,-0.332,-0.030,-0.170,-0.030,-0.317,-0.148,-0.304,-0.136,-0.152,-0.083
2018-06-07-22,737218.9167,-0.337,-0.027,-0.282,-0.067,-0.169,-0.023,-0.310,-0.136,-0.245,-0.155,-0.152,-0.076
2018-06-07-23,737218.9583,-0.340,-0.022,-0.277,-0.022,-0.166,-0.025,-0.314,-0.132,-0.255,-0.111,-0.148,-0.078
2018-06-08-00,     737219,-0.326,-0.017,-0.239,-0.012,-0.147,-0.030,-0.303,-0.122,-0.222,-0.089,-0.129,-0.076
2018-06-08-01,737219.0417,-0.335,-0.009,-0.260, 0.019,-0.144,-0.035,-0.314,-0.117,-0.252,-0.067,-0.125,-0.080
2018-06-08-02,737219.0833,-0.314,-0.014,-0.327, 0.078,-0.202,-0.059,-0.292,-0.115,-0.335,-0.032,-0.172,-0.121
2018-06-08-03, 737219.125,-0.324,-0.002,-0.311, 0.081,-0.278,-0.062,-0.306,-0.107,-0.321,-0.025,-0.242,-0.149
2018-06-08-04,737219.1667,-0.331, 0.005,-0.278, 0.079,-0.303,-0.054,-0.314,-0.103,-0.288,-0.016,-0.269,-0.149
2018-06-08-05,737219.2083,-0.342,-0.001,-0.291, 0.069,-0.340,-0.035,-0.323,-0.112,-0.297,-0.030,-0.310,-0.144
2018-06-08-06,  737219.25,-0.356,-0.011,-0.279, 0.014,-0.340,-0.023,-0.333,-0.126,-0.268,-0.077,-0.315,-0.132
2018-06-08-07,737219.2917,-0.366,-0.002,-0.273, 0.074,-0.344,-0.032,-0.346,-0.121,-0.282,-0.019,-0.315,-0.142
2018-06-08-08,737219.3333,-0.387,-0.018,-0.301, 0.005,-0.321,-0.011,-0.360,-0.143,-0.286,-0.093,-0.300,-0.115
2018-06-08-09, 737219.375,-0.402,-0.029,-0.345,-0.039,-0.311,-0.010,-0.371,-0.159,-0.314,-0.149,-0.291,-0.111
2018-06-08-10,737219.4167,-0.416,-0.032,-0.323,-0.038,-0.312,-0.018,-0.383,-0.166,-0.293,-0.142,-0.289,-0.118
2018-06-08-11,737219.4583,-0.426,-0.027,-0.353,-0.049,-0.311,-0.022,-0.394,-0.164,-0.318,-0.161,-0.286,-0.122
2018-06-08-12,   737219.5,-0.432,-0.030,-0.315,-0.040,-0.322,-0.027,-0.398,-0.169,-0.285,-0.141,-0.296,-0.131
2018-06-08-13,737219.5417,-0.449,-0.035,-0.347,-0.040,-0.335,-0.018,-0.413,-0.180,-0.315,-0.151,-0.311,-0.126
2018-06-08-14,737219.5833,-0.459,-0.027,-0.400,-0.039,-0.326,-0.012,-0.425,-0.175,-0.366,-0.167,-0.305,-0.117
2018-06-08-15, 737219.625,-0.485,-0.010,-0.404,-0.012,-0.330, 0.009,-0.456,-0.167,-0.378,-0.143,-0.315,-0.099
2018-06-08-16,737219.6667,-0.458,-0.026,-0.469,-0.006,-0.284,-0.023,-0.424,-0.173,-0.441,-0.159,-0.261,-0.114
2018-06-08-17,737219.7083,-0.463,-0.012,-0.348, 0.008,-0.365,-0.023,-0.434,-0.163,-0.332,-0.106,-0.337,-0.141
2018-06-08-18,  737219.75,-0.468,-0.014,-0.339, 0.038,-0.396,-0.062,-0.438,-0.165,-0.333,-0.074,-0.354,-0.187
2018-06-08-19,737219.7917,-0.478,-0.005,-0.309, 0.063,-0.402,-0.054,-0.450,-0.160,-0.313,-0.041,-0.362,-0.182
2018-06-08-20,737219.8333,-0.501, 0.005,-0.314, 0.066,-0.416,-0.073,-0.476,-0.159,-0.318,-0.039,-0.370,-0.204
2018-06-08-21, 737219.875,-0.498,-0.004,-0.296, 0.054,-0.412,-0.053,-0.470,-0.166,-0.298,-0.046,-0.372,-0.184
2018-06-08-22,737219.9167,-0.497, 0.004,-0.318, 0.048,-0.405,-0.035,-0.471,-0.158,-0.316,-0.058,-0.372,-0.165
2018-06-08-23,737219.9583,-0.496, 0.009,-0.370, 0.026,-0.418,-0.047,-0.472,-0.153,-0.358,-0.096,-0.380,-0.181
2018-06-09-00,     737220,-0.500, 0.018,-0.352, 0.054,-0.384,-0.035,-0.479,-0.146,-0.350,-0.063,-0.351,-0.158
2018-06-09-01,737220.0417,-0.503, 0.006,-0.325, 0.057,-0.389,-0.034,-0.478,-0.158,-0.326,-0.051,-0.356,-0.158
2018-06-09-02,737220.0833,-0.462, 0.000,-0.335, 0.053,-0.349,-0.036,-0.436,-0.150,-0.334,-0.059,-0.319,-0.148
2018-06-09-03, 737220.125,-0.480, 0.005,-0.360, 0.059,-0.387,-0.036,-0.456,-0.151,-0.360,-0.062,-0.354,-0.161
2018-06-09-04,737220.1667,-0.476, 0.011,-0.365, 0.084,-0.385,-0.037,-0.454,-0.145,-0.372,-0.039,-0.352,-0.160
2018-06-09-05,737220.2083,-0.475, 0.025,-0.357, 0.114,-0.390,-0.032,-0.457,-0.131,-0.375,-0.009,-0.358,-0.157
2018-06-09-06,  737220.25,-0.481, 0.026,-0.350, 0.119,-0.395,-0.032,-0.463,-0.132,-0.370,-0.002,-0.363,-0.159
2018-06-09-07,737220.2917,-0.489, 0.009,-0.305, 0.116,-0.389,-0.039,-0.465,-0.150,-0.326, 0.010,-0.356,-0.164
2018-06-09-08,737220.3333,-0.488,-0.010,-0.290, 0.108,-0.413,-0.074,-0.458,-0.168,-0.309, 0.007,-0.367,-0.204
2018-06-09-09, 737220.375,-0.506,-0.031,-0.336, 0.068,-0.426,-0.093,-0.469,-0.194,-0.340,-0.045,-0.372,-0.227
2018-06-09-10,737220.4167,-0.509,-0.037,-0.291, 0.061,-0.413,-0.064,-0.469,-0.200,-0.295,-0.037,-0.369,-0.195
2018-06-09-11,737220.4583,-0.563,-0.036,-0.261, 0.050,-0.421,-0.064,-0.520,-0.217,-0.263,-0.038,-0.377,-0.198
2018-06-09-12,   737220.5,-0.584,-0.050,-0.265, 0.001,-0.416,-0.049,-0.536,-0.238,-0.251,-0.085,-0.377,-0.182
2018-06-09-13,737220.5417,-0.579,-0.060,-0.232, 0.021,-0.413,-0.058,-0.528,-0.245,-0.226,-0.056,-0.371,-0.189
2018-06-09-14,737220.5833,-0.570,-0.058,-0.235,-0.000,-0.433,-0.063,-0.520,-0.240,-0.222,-0.077,-0.389,-0.201
2018-06-09-15, 737220.625,-0.576,-0.040,-0.296,-0.005,-0.429,-0.029,-0.531,-0.226,-0.279,-0.101,-0.396,-0.167
2018-06-09-16,737220.6667,-0.610,-0.016,-0.380,-0.021,-0.489,-0.015,-0.572,-0.214,-0.352,-0.144,-0.457,-0.174
2018-06-09-17,737220.7083,-0.629,-0.032,-0.446, 0.003,-0.478,-0.062,-0.584,-0.235,-0.423,-0.142,-0.431,-0.214
2018-06-09-18,  737220.75,-0.677,-0.026,-0.555,-0.045,-0.529,-0.054,-0.632,-0.245,-0.510,-0.223,-0.483,-0.224
2018-06-09-19,737220.7917,-0.667,-0.016,-0.567,-0.018,-0.498,-0.049,-0.626,-0.233,-0.530,-0.202,-0.455,-0.208
2018-06-09-20,737220.8333,-0.641,-0.011,-0.545, 0.020,-0.497,-0.049,-0.603,-0.219,-0.522,-0.159,-0.454,-0.208
2018-06-09-21, 737220.875,-0.604,-0.013,-0.501, 0.049,-0.459,-0.040,-0.566,-0.209,-0.490,-0.117,-0.421,-0.187
2018-06-09-22,737220.9167,-0.600,-0.003,-0.481, 0.016,-0.465,-0.054,-0.566,-0.198,-0.460,-0.142,-0.422,-0.203
2018-06-09-23,737220.9583,-0.595,-0.018,-0.472,-0.018,-0.479,-0.070,-0.557,-0.211,-0.440,-0.170,-0.430,-0.222
2018-06-10-00,     737221,-0.588,-0.020,-0.457,-0.002,-0.485,-0.071,-0.550,-0.210,-0.432,-0.151,-0.436,-0.225
2018-06-10-01,737221.0417,-0.597,-0.029,-0.499,-0.008,-0.488,-0.089,-0.555,-0.221,-0.469,-0.170,-0.433,-0.243
2018-06-10-02,737221.0833,-0.604,-0.021,-0.448,-0.041,-0.505,-0.082,-0.564,-0.216,-0.410,-0.185,-0.451,-0.242
2018-06-10-03, 737221.125,-0.593,-0.009,-0.397,-0.029,-0.513,-0.059,-0.558,-0.202,-0.366,-0.157,-0.465,-0.223
2018-06-10-04,737221.1667,-0.606, 0.002,-0.452,-0.054,-0.513,-0.036,-0.574,-0.196,-0.409,-0.198,-0.473,-0.201
2018-06-10-05,737221.2083,-0.593, 0.015,-0.504,-0.064,-0.480,-0.024,-0.566,-0.178,-0.456,-0.225,-0.446,-0.179
2018-06-10-06,  737221.25,-0.574, 0.019,-0.485,-0.020,-0.453,-0.035,-0.548,-0.169,-0.452,-0.177,-0.417,-0.180
2018-06-10-07,737221.2917,-0.563, 0.015,-0.501,-0.034,-0.436,-0.029,-0.537,-0.169,-0.463,-0.195,-0.403,-0.170
2018-06-10-08,737221.3333,-0.535, 0.019,-0.390,-0.068,-0.418, 0.004,-0.512,-0.157,-0.346,-0.191,-0.397,-0.132
2018-06-10-09, 737221.375,-0.506, 0.005,-0.364,-0.077,-0.407,-0.007,-0.480,-0.160,-0.319,-0.191,-0.382,-0.139
2018-06-10-10,737221.4167,-0.476,-0.010,-0.428,-0.051,-0.387,-0.020,-0.447,-0.165,-0.388,-0.188,-0.360,-0.145
2018-06-10-11,737221.4583,-0.500,-0.007,-0.476,-0.063,-0.419,-0.028,-0.470,-0.169,-0.430,-0.214,-0.387,-0.163
2018-06-10-12,   737221.5,-0.529,-0.004,-0.495,-0.001,-0.435,-0.047,-0.499,-0.176,-0.467,-0.162,-0.396,-0.186
2018-06-10-13,737221.5417,-0.566,-0.025,-0.508,-0.081,-0.448,-0.043,-0.527,-0.208,-0.454,-0.242,-0.409,-0.187
2018-06-10-14,737221.5833,-0.595,-0.026,-0.490,-0.070,-0.452,-0.019,-0.554,-0.219,-0.441,-0.226,-0.422,-0.165
2018-06-10-15, 737221.625,-0.651,-0.010,-0.654,-0.079,-0.465,-0.026,-0.612,-0.221,-0.592,-0.288,-0.431,-0.176
2018-06-10-16,737221.6667,-0.686,-0.005,-0.737,-0.096,-0.464, 0.005,-0.647,-0.228,-0.666,-0.331,-0.441,-0.146
2018-06-10-17,737221.7083,-0.657,-0.002,-0.793,-0.082,-0.442, 0.021,-0.620,-0.216,-0.723,-0.336,-0.425,-0.124
2018-06-10-18,  737221.75,-0.629,-0.008,-0.827,-0.079,-0.393,-0.001,-0.592,-0.212,-0.756,-0.344,-0.372,-0.129
2018-06-10-19,737221.7917,-0.651, 0.005,-0.794,-0.039,-0.372,-0.001,-0.617,-0.207,-0.738,-0.296,-0.352,-0.122
2018-06-10-20,737221.8333,-0.664,-0.004,-0.801,-0.057,-0.459,-0.019,-0.627,-0.220,-0.738,-0.315,-0.428,-0.168
2018-06-10-21, 737221.875,-0.640,-0.011,-0.811,-0.062,-0.449,-0.024,-0.602,-0.219,-0.747,-0.323,-0.417,-0.168
2018-06-10-22,737221.9167,-0.613,-0.002,-0.773,-0.059,-0.457,-0.033,-0.579,-0.202,-0.712,-0.307,-0.422,-0.180
2018-06-10-23,737221.9583,-0.643, 0.007,-0.754,-0.048,-0.448,-0.011,-0.610,-0.203,-0.697,-0.291,-0.420,-0.156
2018-06-11-00,     737222,-0.662, 0.003,-0.734,-0.048,-0.442,-0.030,-0.627,-0.213,-0.679,-0.285,-0.408,-0.172
2018-06-11-01,737222.0417,-0.637,-0.003,-0.762,-0.042,-0.438,-0.012,-0.601,-0.210,-0.707,-0.288,-0.411,-0.154
2018-06-11-02,737222.0833,-0.650, 0.010,-0.781, 0.004,-0.408, 0.008,-0.618,-0.202,-0.740,-0.251,-0.388,-0.125
2018-06-11-03, 737222.125,-0.681, 0.014,-0.703,-0.028,-0.439, 0.011,-0.648,-0.208,-0.655,-0.255,-0.418,-0.132
2018-06-11-04,737222.1667,-0.685,-0.001,-0.800,-0.048,-0.435, 0.026,-0.647,-0.224,-0.741,-0.306,-0.419,-0.117
2018-06-11-05,737222.2083,-0.685, 0.015,-0.799, 0.044,-0.395, 0.033,-0.653,-0.209,-0.770,-0.218,-0.384,-0.097
2018-06-11-06,  737222.25,-0.702, 0.018,-0.811, 0.052,-0.438, 0.005,-0.669,-0.211,-0.783,-0.215,-0.416,-0.138
2018-06-11-07,737222.2917,-0.748, 0.024,-0.858, 0.009,-0.438, 0.035,-0.715,-0.221,-0.815,-0.270,-0.425,-0.110
2018-06-11-08,737222.3333,-0.737, 0.014,-0.901,-0.031,-0.422, 0.050,-0.702,-0.227,-0.842,-0.322,-0.415,-0.090
2018-06-11-09, 737222.375,-0.754, 0.025,-0.875, 0.019,-0.416, 0.045,-0.721,-0.222,-0.833,-0.267,-0.408,-0.093
2018-06-11-10,737222.4167,-0.761, 0.006,-0.917,-0.008,-0.389, 0.009,-0.721,-0.242,-0.865,-0.306,-0.370,-0.118
2018-06-11-11,737222.4583,-0.750, 0.006,-0.895,-0.012,-0.414,-0.009,-0.711,-0.238,-0.842,-0.302,-0.388,-0.143
2018-06-11-12,   737222.5,-0.746,-0.009,-0.813,-0.046,-0.386,-0.013,-0.703,-0.251,-0.754,-0.308,-0.361,-0.138
2018-06-11-13,737222.5417,-0.732,-0.019,-0.738,-0.064,-0.373,-0.008,-0.686,-0.256,-0.677,-0.301,-0.350,-0.129
2018-06-11-14,737222.5833,-0.718,-0.013,-0.695,-0.057,-0.366, 0.009,-0.675,-0.247,-0.638,-0.280,-0.349,-0.111
2018-06-11-15, 737222.625,-0.689,-0.015,-0.810,-0.087,-0.294, 0.032,-0.646,-0.239,-0.737,-0.345,-0.288,-0.065
2018-06-11-16,737222.6667,-0.666,-0.019,-0.866,-0.110,-0.260, 0.059,-0.624,-0.235,-0.783,-0.386,-0.265,-0.029
2018-06-11-17,737222.7083,-0.658,-0.015,-0.913,-0.096,-0.211, 0.052,-0.618,-0.228,-0.832,-0.389,-0.216,-0.019
2018-06-11-18,  737222.75,-0.644,-0.006,-0.879,-0.074,-0.176, 0.045,-0.607,-0.216,-0.807,-0.356,-0.181,-0.014
2018-06-11-19,737222.7917,-0.611,-0.006,-0.848,-0.085,-0.148, 0.035,-0.576,-0.205,-0.774,-0.357,-0.151,-0.015
2018-06-11-20,737222.8333,-0.567,-0.004,-0.821,-0.079,-0.138, 0.012,-0.535,-0.188,-0.750,-0.342,-0.135,-0.034
2018-06-11-21, 737222.875,-0.516,-0.008,-0.778,-0.035,-0.124,-0.011,-0.485,-0.175,-0.724,-0.287,-0.113,-0.050
2018-06-11-22,737222.9167,-0.501,-0.010,-0.772,-0.014,-0.092, 0.001,-0.470,-0.173,-0.726,-0.265,-0.088,-0.029
2018-06-11-23,737222.9583,-0.498,-0.016,-0.727, 0.006,-0.097, 0.011,-0.466,-0.177,-0.689,-0.231,-0.095,-0.021
2018-06-12-00,     737223,-0.498,-0.018,-0.719, 0.023,-0.093,-0.011,-0.465,-0.179,-0.688,-0.212,-0.084,-0.040
2018-06-12-01,737223.0417,-0.477,-0.023,-0.722, 0.049,-0.070,-0.029,-0.443,-0.177,-0.699,-0.188,-0.057,-0.051
2018-06-12-02,737223.0833,-0.481,-0.039,-0.741, 0.073,-0.075,-0.028,-0.442,-0.194,-0.724,-0.172,-0.062,-0.051
2018-06-12-03, 737223.125,-0.502,-0.048,-0.735, 0.046,-0.091,-0.038,-0.459,-0.209,-0.710,-0.196,-0.074,-0.066
2018-06-12-04,737223.1667,-0.513,-0.056,-0.724, 0.009,-0.132,-0.055,-0.467,-0.220,-0.687,-0.227,-0.107,-0.095
2018-06-12-05,737223.2083,-0.505,-0.037,-0.707, 0.031,-0.144,-0.028,-0.465,-0.199,-0.679,-0.200,-0.127,-0.073
2018-06-12-06,  737223.25,-0.513,-0.026,-0.711, 0.045,-0.150, 0.008,-0.477,-0.192,-0.687,-0.189,-0.145,-0.041
2018-06-12-07,737223.2917,-0.524,-0.019,-0.700,-0.015,-0.162, 0.041,-0.489,-0.189,-0.657,-0.242,-0.167,-0.014
2018-06-12-08,737223.3333,-0.532,-0.016,-0.682,-0.051,-0.166, 0.032,-0.498,-0.188,-0.628,-0.270,-0.167,-0.023
2018-06-12-09, 737223.375,-0.521,-0.019,-0.667,-0.063,-0.154, 0.039,-0.487,-0.188,-0.610,-0.277,-0.158,-0.013
2018-06-12-10,737223.4167,-0.478,-0.037,-0.634,-0.091,-0.130, 0.028,-0.440,-0.191,-0.570,-0.292,-0.131,-0.016
2018-06-12-11,737223.4583,-0.447,-0.055,-0.610,-0.132,-0.096, 0.026,-0.405,-0.197,-0.534,-0.323,-0.099,-0.007
2018-06-12-12,   737223.5,-0.413,-0.064,-0.558,-0.134,-0.087,-0.003,-0.369,-0.195,-0.484,-0.308,-0.082,-0.031
2018-06-12-13,737223.5417,-0.385,-0.065,-0.521,-0.095,-0.093,-0.029,-0.343,-0.187,-0.461,-0.260,-0.079,-0.057
2018-06-12-14,737223.5833,-0.384,-0.064,-0.510,-0.113,-0.099,-0.005,-0.342,-0.186,-0.445,-0.273,-0.092,-0.037
2018-06-12-15, 737223.625,-0.401,-0.052,-0.548,-0.105,-0.109, 0.004,-0.362,-0.180,-0.484,-0.277,-0.104,-0.032
2018-06-12-16,737223.6667,-0.427,-0.049,-0.590,-0.090,-0.101,-0.006,-0.388,-0.186,-0.528,-0.278,-0.093,-0.039
2018-06-12-17,737223.7083,-0.425,-0.025,-0.615,-0.032,-0.113,-0.026,-0.394,-0.162,-0.571,-0.230,-0.099,-0.061
2018-06-12-18,  737223.75,-0.431,-0.007,-0.621,-0.023,-0.112,-0.010,-0.406,-0.147,-0.580,-0.224,-0.103,-0.046
2018-06-12-19,737223.7917,-0.441,-0.018,-0.592,-0.026,-0.113,-0.005,-0.411,-0.160,-0.551,-0.218,-0.105,-0.041
2018-06-12-20,737223.8333,-0.419,-0.009,-0.598,-0.005,-0.104, 0.005,-0.393,-0.145,-0.564,-0.199,-0.100,-0.029
2018-06-12-21, 737223.875,-0.421,-0.006,-0.574,-0.015,-0.083, 0.008,-0.396,-0.142,-0.538,-0.201,-0.081,-0.020
2018-06-12-22,737223.9167,-0.388,-0.009,-0.534,-0.020,-0.089, 0.009,-0.364,-0.135,-0.499,-0.193,-0.087,-0.020
2018-06-12-23,737223.9583,-0.354,-0.013,-0.483,-0.027,-0.074, 0.008,-0.331,-0.127,-0.448,-0.182,-0.072,-0.017
2018-06-13-00,     737224,-0.317,-0.011,-0.451, 0.004,-0.063,-0.003,-0.296,-0.113,-0.428,-0.143,-0.059,-0.023
2018-06-13-01,737224.0417,-0.308,-0.016,-0.407,-0.032,-0.059, 0.018,-0.286,-0.115,-0.375,-0.163,-0.062,-0.002
2018-06-13-02,737224.0833,-0.303,-0.016,-0.393,-0.039,-0.072, 0.024,-0.281,-0.113,-0.359,-0.165,-0.075,-0.001
2018-06-13-03, 737224.125,-0.291,-0.008,-0.378,-0.011,-0.053, 0.000,-0.272,-0.102,-0.354,-0.134,-0.050,-0.017
2018-06-13-04,737224.1667,-0.295,-0.013,-0.372,-0.036,-0.069, 0.013,-0.274,-0.108,-0.340,-0.155,-0.069,-0.010
2018-06-13-05,737224.2083,-0.294,-0.012,-0.404,-0.028,-0.052, 0.023,-0.274,-0.107,-0.373,-0.158,-0.057, 0.005
2018-06-13-06,  737224.25,-0.314,-0.018,-0.440,-0.049,-0.064, 0.047,-0.291,-0.119,-0.400,-0.189,-0.076, 0.024
2018-06-13-07,737224.2917,-0.264,-0.031,-0.418,-0.086,-0.060, 0.069,-0.239,-0.115,-0.367,-0.217,-0.079, 0.046
2018-06-13-08,737224.3333,-0.314,-0.059,-0.415,-0.133,-0.045, 0.071,-0.278,-0.159,-0.349,-0.261,-0.065, 0.053
2018-06-13-09, 737224.375,-0.266,-0.054,-0.392,-0.126,-0.025, 0.015,-0.234,-0.137,-0.330,-0.247,-0.028, 0.006
2018-06-13-10,737224.4167,-0.251,-0.036,-0.391,-0.095,-0.009, 0.017,-0.226,-0.115,-0.339,-0.217,-0.014, 0.013
2018-06-13-11,737224.4583,-0.260,-0.044,-0.387,-0.106,-0.025, 0.000,-0.231,-0.126,-0.331,-0.226,-0.024,-0.008
2018-06-13-12,   737224.5,-0.269,-0.034,-0.378,-0.090,-0.006, 0.020,-0.243,-0.119,-0.328,-0.208,-0.012, 0.017
2018-06-13-13,737224.5417,-0.296,-0.035,-0.429,-0.042,-0.008, 0.010,-0.269,-0.130,-0.392,-0.180,-0.011, 0.007
2018-06-13-14,737224.5833,-0.290,-0.072,-0.418,-0.094,-0.039,-0.011,-0.251,-0.162,-0.365,-0.225,-0.033,-0.023
2018-06-13-15, 737224.625,-0.308,-0.093,-0.342,-0.156,-0.060,-0.002,-0.261,-0.189,-0.273,-0.259,-0.056,-0.021
2018-06-13-16,737224.6667,-0.332,-0.040,-0.461,-0.007,-0.054,-0.024,-0.301,-0.146,-0.433,-0.157,-0.043,-0.040
2018-06-13-17,737224.7083,-0.351,-0.036,-0.449, 0.003,-0.074,-0.019,-0.321,-0.148,-0.425,-0.143,-0.064,-0.043
2018-06-13-18,  737224.75,-0.336,-0.049,-0.455,-0.044,-0.064, 0.001,-0.301,-0.155,-0.416,-0.190,-0.061,-0.020
2018-06-13-19,737224.7917,-0.352,-0.052,-0.566,-0.146,-0.083, 0.020,-0.316,-0.163,-0.487,-0.322,-0.085,-0.008
2018-06-13-20,737224.8333,-0.371,-0.083,-0.604,-0.194,-0.092, 0.043,-0.324,-0.199,-0.507,-0.380,-0.101, 0.010
2018-06-13-21, 737224.875,-0.401,-0.050,-0.545,-0.135,-0.099, 0.038,-0.363,-0.178,-0.471,-0.305,-0.106, 0.004
2018-06-13-22,737224.9167,-0.357,-0.017,-0.474, 0.005,-0.090,-0.007,-0.332,-0.132,-0.449,-0.150,-0.083,-0.036
